text_id	link	title	date	author	type	filename
80	https://panorama.pub/5042-programmist-zabyl-o-bote.html	Программист забыл о боте на три года и раскрутил сообщество до 120 000 подписчиков	2018-07-16	Григорий Касаткин	news	D:\Panorama\texts\80.txt
81	https://panorama.pub/5035-mozhem_povtorit.html	Можем повторить! О спортивной и социальной победе России на Чемпионате мира	2018-07-16	Виталий Манн	article	D:\Panorama\texts\81.txt
82	https://panorama.pub/4790-rossijskaya-tserkov-satany.html	Российская Церковь Сатаны добивается изучения в школах основ сатанизма наравне с &quot;Основами православной культуры&quot;	2018-07-15	Борис Гонтермахер	news	D:\Panorama\texts\82.txt
83	https://panorama.pub/4978-rossijskie-sportsmeny.html	Из-за декоммунизации российские спортсмены на соревнованиях в Европе будут выходить под &quot;Боже, царя храни&quot;	2018-07-15	Борис Гонтермахер	news	D:\Panorama\texts\83.txt
84	https://panorama.pub/5008-kazahstan-gotovitsya-k-perehodu-na-anglijskuyu-sistemu-mer.html	Казахстан готовится к переходу на английскую систему мер	2018-07-15	Виталий Манн	news	D:\Panorama\texts\84.txt
85	https://panorama.pub/5004-ren-tv-pokazhet-film.html	РЕН ТВ покажет фильм &quot;Герои невидимой войны&quot; про подвиг Сердюкова и Васильевой	2018-07-14	Борис Гонтермахер	news	D:\Panorama\texts\85.txt
86	https://panorama.pub/4995-mendeleeva-lishat-nobelevki.html	Дмитрия Менделеева лишат Нобелевской премии по химии в пользу создателя первого шампуня для собак	2018-07-14	Виталий Манн	news	D:\Panorama\texts\86.txt
87	https://panorama.pub/4987-rynok-sadovod-budet-vklyuchyon-v-spisok-kulturnogo-naslediya-yunesko.html	Московский рынок &quot;Садовод&quot; будет включён в список культурного наследия ЮНЕСКО	2018-07-14	Герман Томилин	news	D:\Panorama\texts\87.txt
88	https://panorama.pub/4979-odnoklassniki-proveryat-na-gosizmenu.html	В &quot;Одноклассниках&quot; появится приложение, которое будет проверять пользователей на склонность к госизмене	2018-07-13	Виталий Манн	news	D:\Panorama\texts\88.txt
89	https://panorama.pub/4972-afroamerikanets-podal-v-sud-iz-za-belyh-golubej-na-svadbe.html	Афроамериканец подал в суд из-за белых голубей на свадьбе	2018-07-13	Виталий Манн	news	D:\Panorama\texts\89.txt
90	https://panorama.pub/4961-shkolu-perenesli-v-staroe-zdanie.html	В Челябинске перенесли школу в старое ветхое здание из-за близости к точке продажи сигарет	2018-07-13	Изяслав Тарашкевич	news	D:\Panorama\texts\90.txt
91	https://panorama.pub/4957-fifa-potrebovalo-ot-telekanalov.html	ФИФА потребовала от телеканалов чаще показывать болельщиц-феминисток	2018-07-12	Борис Гонтермахер	news	D:\Panorama\texts\91.txt
92	https://panorama.pub/4949-britanets_zatsenil_boyaru.html	Британский журналист открыл для себя лечебные свойства настойки боярышника	2018-07-12	Виталий Манн	news	D:\Panorama\texts\92.txt
93	https://panorama.pub/4938-muzhchina-domogavshijsya-k-feministke-okazalsya-manekenom.html	Мужчина, домогавшийся к феминистке, оказался манекеном	2018-07-12	Григорий Касаткин	news	D:\Panorama\texts\93.txt
94	https://panorama.pub/4928-medved-shahmatist.html	Медведь победил на шахматном турнире в Норильске	2018-07-12	Виталий Манн	news	D:\Panorama\texts\94.txt
95	https://panorama.pub/4920-politsejskie-nauchili-shkolnikov-iz-stavropolya-obnaruzhivat-zakladki-s-narkotikami.html	Полицейские научили школьников из Ставрополя обнаруживать закладки с наркотиками	2018-07-11	Виталий Манн	news	D:\Panorama\texts\95.txt
96	https://panorama.pub/4912-finskih-shkolnikov-nauchat-bukhat.html	Преподаватели из России научат пить финских старшеклассников	2018-07-11	Дмитрий Беккер	news	D:\Panorama\texts\96.txt
97	https://panorama.pub/4854-v-avstralii-rabotniki-zooparka-podbrasyvali-krolikov-pokidayushhim-stranu-inostrantsam.html	В Австралии работники зоопарка подбрасывали кроликов в багаж покидающим страну иностранцам	2018-07-11	Изяслав Тарашкевич	news	D:\Panorama\texts\97.txt
98	https://panorama.pub/4893-nashli-granyonnyj-stakan-eltsina.html	В Екатеринбурге нашли похищенный гранённый стакан Ельцина	2018-07-10	Виталий Манн	news	D:\Panorama\texts\98.txt
99	https://panorama.pub/4884-gomiki-protiv-indejtsev.html	ЛГБТ-активисты сорвали демонстрацию за защиту прав индейцев в Хьюстоне	2018-07-10	Виталий Манн	news	D:\Panorama\texts\99.txt
100	https://panorama.pub/4882-otkazalas-isklyuchat-e948.html	Компания Nestle отказалась исключать E948 из детского питания и сладостей	2018-07-10	Борис Гонтермахер	news	D:\Panorama\texts\100.txt
101	https://panorama.pub/4848-avstrijskaya-nepravitelstvennaya-organizatsiya.html	Австрийская неправительственная организация наградила сборную Хорватии орденом Геринга	2018-07-09	Борис Гонтермахер	news	D:\Panorama\texts\101.txt
102	https://panorama.pub/4866-pravitelstvo-velikobritanii-obyavilo.html	Правительство Великобритании объявило об отмене Brexit на основании интернет-опроса	2018-07-09	Борис Гонтермахер	news	D:\Panorama\texts\102.txt
103	https://panorama.pub/4867-espch-protiv-rossii.html	ЕСПЧ порекомендовал обращаться в суд всем пострадавшим от действий Российской империи	2018-07-09	Виталий Манн	news	D:\Panorama\texts\103.txt
104	https://panorama.pub/4856-meksikanets-katapulta.html	Мексиканец c помощью катапульты перебрасывал соотечественников через границу с США	2018-07-09	Герман Томилин	news	D:\Panorama\texts\104.txt
105	https://panorama.pub/4850-hollandtsy_kuryat.html	В Нидерландах введут минимально допустимую норму марихуаны на домохозяйство	2018-07-09	Изяслав Тарашкевич	news	D:\Panorama\texts\105.txt
106	https://panorama.pub/4840-vo-vladimire-otmetili-tysyacheletie-so-dnya-osnovaniya-pervogo-gej-kluba-na-rusi.html	Во Владимире отметили тысячелетие со дня основания первого гей-клуба на Руси	2018-07-08	Виталий Манн	news	D:\Panorama\texts\106.txt
107	https://panorama.pub/4812-na-meste-poryva-teplotrassy-v-novokuznetske-sozdadut-park-s-fontanom.html	На месте прорыва теплотрассы в Новокузнецке создадут парк с фонтаном	2018-07-08	Виталий Манн	news	D:\Panorama\texts\107.txt
108	https://panorama.pub/4825-sberbank-dostavit.html	Сбербанк доставит на МКС платёжный терминал 	2018-07-08	Герман Томилин	news	D:\Panorama\texts\108.txt
109	https://panorama.pub/4816-bagdasaryan-za-rulem-shestiorki.html	Лишённую прав Мару Багдасарян задержали за рулем ВАЗ-2106	2018-07-07	Виталий Манн	news	D:\Panorama\texts\109.txt
110	https://panorama.pub/4803-polskie-turisty-zabludilis-v-zapovednike-tropa-susanina.html	Польские туристы заблудились в заповеднике &quot;Тропа Сусанина&quot;	2018-07-07	Виталий Манн	news	D:\Panorama\texts\110.txt
111	https://panorama.pub/4791-rpts-vypustit-pravoslavnye-sigarety-patriarh.html	РПЦ выпустит православные сигареты &quot;Патриарх&quot;	2018-07-06	Герман Томилин	news	D:\Panorama\texts\111.txt
112	https://panorama.pub/4783-minobrazovaniya-oplatit.html	Минобразования планирует оплачивать обучение иностранных студентов в российских вузах	2018-07-06	Виталий Манн	news	D:\Panorama\texts\112.txt
113	https://panorama.pub/4586-sud-zastavil-narushitelya-vernut-na-mesto-demontirovannye-tramvajnye-relsy.html	Суд заставил нарушителя вернуть на место демонтированные трамвайные рельсы	2018-07-06	Григорий Касаткин	news	D:\Panorama\texts\113.txt
114	https://panorama.pub/4773-v-pyati-gorodah-germanii-uzakonyat-mnogozhyonstvo.html	В пяти городах Германии узаконят многожёнство	2018-07-05	Виталий Манн	news	D:\Panorama\texts\114.txt
